left_len,right_len,total_empty,n,first,current_player_result,black_initial_result
4,38,42,43,4,L,W
4,39,43,44,4,L,W
4,40,44,45,4,L,W
5,1,6,7,5,W,L
5,2,7,8,5,L,W
5,3,8,9,5,W,L
5,4,9,10,5,L,W
5,5,10,11,5,L,W
5,6,11,12,5,L,W
5,7,12,13,5,W,L
5,8,13,14,5,L,W
5,9,14,15,5,L,W
5,10,15,16,5,L,W
5,11,16,17,5,L,W
5,12,17,18,5,L,W
5,13,18,19,5,L,W
5,14,19,20,5,L,W
5,15,20,21,5,L,W
5,16,21,22,5,L,W
5,17,22,23,5,L,W
5,18,23,24,5,L,W
5,19,24,25,5,L,W
5,20,25,26,5,L,W
5,21,26,27,5,L,W
5,22,27,28,5,L,W
5,23,28,29,5,L,W
5,24,29,30,5,L,W
5,25,30,31,5,L,W
5,26,31,32,5,L,W
5,27,32,33,5,L,W
5,28,33,34,5,L,W
5,29,34,35,5,L,W
5,30,35,36,5,L,W
5,31,36,37,5,L,W
5,32,37,38,5,L,W
5,33,38,39,5,L,W
5,34,39,40,5,L,W
5,35,40,41,5,L,W
5,36,41,42,5,L,W
5,37,42,43,5,L,W
5,38,43,44,5,L,W
5,39,44,45,5,L,W
6,1,7,8,6,W,L
6,2,8,9,6,L,W
6,3,9,10,6,W,L
6,4,10,11,6,W,L
6,5,11,12,6,L,W
6,6,12,13,6,L,W
6,7,13,14,6,L,W
6,8,14,15,6,W,L
6,9,15,16,6,W,L
6,10,16,17,6,L,W
6,11,17,18,6,L,W
6,12,18,19,6,L,W
6,13,19,20,6,L,W
6,14,20,21,6,L,W
6,15,21,22,6,L,W
6,16,22,23,6,L,W
6,17,23,24,6,L,W
6,18,24,25,6,L,W
6,19,25,26,6,L,W
6,20,26,27,6,L,W
6,21,27,28,6,L,W
6,22,28,29,6,L,W
6,23,29,30,6,L,W
6,24,30,31,6,L,W
6,25,31,32,6,L,W
6,26,32,33,6,L,W
6,27,33,34,6,L,W
6,28,34,35,6,L,W
6,29,35,36,6,L,W
6,30,36,37,6,L,W
6,31,37,38,6,L,W
6,32,38,39,6,L,W
6,33,39,40,6,L,W
6,34,40,41,6,L,W
6,35,41,42,6,L,W
6,36,42,43,6,L,W
6,37,43,44,6,L,W
6,38,44,45,6,L,W
